OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OKEAN-3,1991-039A,2026-05-18T02:11:46.057056,15.05165433,.0015888,82.5148,269.5616,93.9320,266.3724,0,U,21397,999,87547,.11966E-3,.1738E-4,0
COSMOS 2151,1991-042A,2026-05-18T04:22:16.311072,15.00350260,.0012183,82.4980,16.6362,177.1760,182.9535,0,U,21422,999,87361,.57798E-4,.753E-5,0
SL-14 R/B,1991-042B,2026-05-18T02:31:36.135840,14.81881603,.0017435,82.4919,155.1068,18.3688,341.8152,0,U,21423,999,86335,.24566E-4,.218E-5,0
ERS-1,1991-050A,2026-05-18T01:37:47.004096,14.39497212,.0031795,98.7814,158.0282,358.7078,1.4022,0,U,21574,999,82571,.74404E-4,.187E-5,0
ARIANE 40 R/B,1991-050F,2026-05-18T03:53:28.158144,14.42937347,.0002496,98.1897,187.7454,198.0899,162.0203,0,U,21610,999,82901,.6156E-4,.164E-5,0
INTERCOSMOS 25,1991-086A,2026-05-18T01:41:13.018848,12.12157787,.1485262,82.6026,268.0350,327.3804,24.3375,0,U,21819,999,50509,.15774E-3,.804E-5,0
SL-8 R/B,1992-008B,2026-05-18T05:34:02.895744,13.75972825,.0033316,82.9288,216.0572,301.5220,83.6462,0,U,21876,999,71898,.46879E-4,.6E-6,0
SL-8 R/B,1992-020B,2026-05-18T03:33:09.658080,13.75546733,.0030429,82.9283,102.1687,103.0882,267.7018,0,U,21938,999,71068,-.30089E-4,-.14E-6,0
USA 81,1992-023A,2026-05-18T04:00:03.501216,14.32388742,.0002232,85.0062,91.3320,108.8258,251.3177,0,U,21949,999,10473,.35396E-4,.116E-5,0
COSMOS 2219,1992-076A,2026-05-18T04:44:54.096576,14.14102515,.0015594,71.0614,232.7629,93.9468,266.3438,0,U,22219,999,72820,-.69681E-4,-.18E-5,0
