OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
BEIDOU-2 IGSO-1,2010-036A,2026-05-12T16:32:11.849856,1.00282752,.00588559,54.2951,163.2807,224.5644,197.8413,0,U,36828,999,5774,0,-.41E-6,0
NILESAT 201,2010-037A,2026-05-18T01:39:38.517984,1.00271713,.0003322,0.0598,112.2539,330.5654,170.8743,0,U,36830,999,5807,0,-.53E-6,0
RASCOM-QAF 1R,2010-037B,2026-05-18T01:31:38.578080,1.00272291,.0006734,0.0098,96.0129,318.7296,206.8237,0,U,36831,999,5800,0,.23E-6,0
AEHF-1 (USA 214),2010-039A,2026-05-17T23:40:51.661056,1.00273368,.0003956,8.1456,68.4419,338.6565,213.7321,0,U,36868,999,5335,0,.15E-5,0
XM-5,2010-053A,2026-05-17T22:34:38.506080,1.00271448,.0003544,0.0610,273.7930,280.4651,264.8513,0,U,37185,999,5718,0,-.18E-6,0
BSAT-3B,2010-056B,2026-05-17T21:43:56.297280,1.00271084,.00008118,0.0379,230.0688,314.8280,126.5384,0,U,37207,999,5179,0,-.345E-5,0
BEIDOU-2 G4,2010-057A,2026-05-18T02:33:34.700832,1.00271760,.0005816,3.5723,69.1104,208.3309,156.7375,0,U,37210,999,5699,0,-.109E-5,0
SKYTERRA 1,2010-061A,2026-05-18T04:04:38.694720,1.00271957,.0002799,5.0629,50.8770,5.5679,139.2643,0,U,37218,999,5689,0,-.116E-5,0
HYLAS 1,2010-065A,2026-05-18T01:23:38.853312,1.00271616,.0001249,5.5686,73.3780,296.7134,260.3774,0,U,37237,999,658,0,.93E-6,0
INTELSAT 17 (IS-17),2010-065B,2026-05-18T01:46:38.591328,1.00271514,.0002669,0.0121,174.0577,253.8743,260.4920,0,U,37238,999,5294,0,.3E-7,0
BEIDOU-2 IGSO-2,2010-068A,2026-05-15T17:22:51.819168,1.00294155,.00543457,47.6108,272.2352,211.9136,116.2636,0,U,37256,999,5646,0,-.229E-5,0
EUTELSAT KA-SAT 9A,2010-069A,2026-05-17T21:59:38.504832,1.00270584,.00044839,0.0613,2.6745,133.9274,77.9405,0,U,37258,999,4370,0,.67E-6,0
HISPASAT 30W-5,2010-070A,2026-05-18T03:35:36.851712,1.00271917,.0004291,0.0662,107.7285,332.4136,179.6144,0,U,37264,999,5288,0,-.212E-5,0
KOREASAT 6,2010-070B,2026-05-17T22:08:38.816736,1.00271136,.0001994,0.0139,344.3299,67.3488,315.9916,0,U,37265,999,5646,0,-.106E-5,0
BEIDOU-2 IGSO-3,2011-013A,2026-05-14T18:01:06.818304,1.00276202,.00339423,62.3634,40.4703,185.9417,24.6219,0,U,37384,999,5532,0,-.206E-5,0
INTELSAT 28 (IS-28),2011-016A,2026-05-18T05:27:50.567040,1.00270033,.0003691,1.7298,82.9612,336.9754,226.2460,0,U,37392,999,5298,0,-.221E-5,0
