OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-32443,2024-193M,2026-05-18T03:41:54.646080,15.30276302,.0000574,53.1591,128.2333,99.0874,261.0191,0,U,61672,999,8716,-.65707E-3,-.19814E-3,0
STARLINK-32417,2024-193N,2026-05-18T03:35:51.607104,15.30181265,.0001255,53.1599,128.2042,86.3239,273.7905,0,U,61673,999,8716,-.39505E-4,-.1528E-4,0
STARLINK-32326,2024-193P,2026-05-18T03:32:49.285824,15.30187954,.0001129,53.1600,128.1923,85.0395,275.0734,0,U,61674,999,8716,-.30479E-4,-.1261E-4,0
STARLINK-32294,2024-193Q,2026-05-18T03:28:15.739104,15.30184979,.0001164,53.1600,128.1704,79.6591,280.4541,0,U,61675,999,8716,-.27473E-4,-.1172E-4,0
STARLINK-32309,2024-193R,2026-05-18T04:17:43.122912,15.33652530,.0002551,53.1612,127.6713,95.0405,265.0889,0,U,61676,999,8717,.50394E-3,.16291E-3,0
STARLINK-32323,2024-193S,2026-05-18T03:29:19.705344,15.34382650,.0001421,53.1606,127.4694,93.5326,266.5839,0,U,61677,999,8717,-.80388E-5,-.648E-5,0
STARLINK-32363,2024-193T,2026-05-18T03:20:14.191296,15.34383911,.0001218,53.1618,127.4283,87.0598,273.0544,0,U,61678,999,8717,-.51308E-5,-.549E-5,0
STARLINK-32395,2024-193U,2026-05-17T16:10:17.401728,15.30189981,.0001075,53.1598,130.9150,77.7026,282.4095,0,U,61679,999,8708,-.16497133E-4,-.847E-5,0
STARLINK-32412,2024-193V,2026-05-18T04:12:34.721568,15.31699727,.0001282,53.1609,128.3579,84.9088,275.2059,0,U,61680,999,8716,-.36083E-5,-.477E-5,0
STARLINK-32426,2024-193W,2026-05-17T06:41:25.432512,15.30181889,.00014378,53.1607,132.7161,89.1966,270.9200,0,U,61681,999,8702,-.30034772E-4,-.1248E-4,0
STARLINK-32429,2024-193X,2026-05-18T03:25:11.421120,15.30208042,.0001467,53.1607,128.1473,106.9871,253.1290,0,U,61682,999,8716,.65594E-4,.1584E-4,0
STARLINK-11335 [DTC],2024-195A,2026-05-17T17:42:30.983040,15.69702070,.00007872,53.1604,46.2297,78.3462,281.7644,0,U,61687,999,8987,-.14728251E-4,-.2371E-4,0
STARLINK-11344 [DTC],2024-195B,2026-05-18T04:17:13.136064,15.69714449,.0000599,53.1607,43.9993,349.4666,10.6339,0,U,61688,999,8994,-.98435E-6,-.707E-5,0
STARLINK-11312 [DTC],2024-195C,2026-05-17T17:28:23.241792,15.69686421,.00002015,53.1593,46.1627,95.2690,264.8351,0,U,61689,999,8987,-.30581745E-4,-.4286E-4,0
STARLINK-11340 [DTC],2024-195D,2026-05-17T11:14:34.745280,15.69695623,.00009437,53.1579,47.3868,120.3523,239.7588,0,U,61690,999,8983,-.30892544E-4,-.4326E-4,0
STARLINK-11339 [DTC],2024-195E,2026-05-18T00:45:36.148896,15.69711342,.0000996,53.1584,44.4977,96.2600,263.8531,0,U,61691,999,8992,.24698E-5,-.289E-5,0
